"The country or postal code doesn't match with the one you entered earlier. Please re-enter the new postal code for the shipping above.","The country or postal code doesn't match with the one you entered earlier. Please re-enter the new postal code for the shipping above."
"Please choose a shipping method.","Please choose a shipping method."
"Could not place the order.","Could not place the order."
"We can't update shipping method.","We can't update shipping method."
"Order id missing","Order id missing"
"An error occurred...","An error occurred..."
"Cannot update checkout (%1)","Cannot update checkout (%1)"
"Cannot initialize Svea Checkout (%1)","Cannot initialize Svea Checkout (%1)"
"Svea Checkout","Svea Checkout"
"Invoice Fee","Invoice Fee"
"Crosssell products","Crosssell products"
"Date:,Date:","Date:,Date:"
"Total:,Total:","Total:,Total:"
"You will be redirected to the Svea Checkout page.","You will be redirected to the Svea Checkout page."
"Svea","Svea"
"Connection","Connection"
"Enabled,Enabled","Enabled,Enabled"
"Testmode","Testmode"
"Merchant ID","Merchant ID"
"Merchant ID, you will get this from Svea.","Merchant ID, you will get this from Svea."
"Shared Secret","Shared Secret"
"The shared secret, you will get this from Svea.","The shared secret, you will get this from Svea."
"Settings,Settings","Settings,Settings"
"Default Country","Default Country"
"Only if multiple countries are allowed. If this is invalid, the first allowed country will be used","Only if multiple countries are allowed. If this is invalid, the first allowed country will be used"
"Allowed Payment Countries","Allowed Payment Countries"
"Assure that selected countries are in <strong>Allow Countries</strong> list (<em>System &raquo; Configuration &raquo; General &raquo; General</em>)","Assure that selected countries are in <strong>Allow Countries</strong> list (<em>System &raquo; Configuration &raquo; General &raquo; General</em>)"
"Capture/Refund payment","Capture/Refund payment"
"If NO, no payment operations will be done (Capture/Refund/Void) on Invoice/Creditmemo/Order","If NO, no payment operations will be done (Capture/Refund/Void) on Invoice/Creditmemo/Order"
"Can capture partial","Can capture partial"
"If NO, you cannot make partial invoices/refunds","If NO, you cannot make partial invoices/refunds"
"Subscribe Newsletter Checked by default","Subscribe Newsletter Checked by default"
"Register Guest Customers","Register Guest Customers"
"Url for Terms page","Url for Terms page"
"Replace checkout url with Svea Checkout","Replace checkout url with Svea Checkout"
"Layout options","Layout options"
"Display Newsletter checkbox","Display Newsletter checkbox"
"Display Discount Form","Display Discount Form"
"Display Comment","Display Comment"
"Display link to a different payment method","Display link to a different payment method"
"Display Additional block","Display Additional block"
"Additional block Content","Additional block Content"
"Crosssell Products","Crosssell Products"
"Display Crosssell Products","Display Crosssell Products"
"Number of Products","Number of Products"
"New Order Status","New Order Status"
"Sort Order","Sort Order"
"Title","Title"
